# h00,h01,h02,h10,h11,h12,h20,h21,h22
-8.041373640298843384e-02,-1.377967000007629395e-02,-4.366477578878402710e-02,1.189039461314678192e-02,1.572840064764022827e-01,9.217239916324615479e-02,-1.166919171810150146e-01,-9.636774659156799316e-03,-2.840922400355339050e-02
6.776569038629531860e-02,-4.315583780407905579e-02,-9.833112359046936035e-03,5.143810063600540161e-02,-1.797619909048080444e-01,8.854737132787704468e-02,-1.438740827143192291e-02,-1.098752617835998535e-01,2.289448864758014679e-02
-1.593576371669769287e-02,3.745136782526969910e-02,-1.768860151059925556e-03,3.857164084911346436e-02,1.028863787651062012e-01,4.647973459213972092e-03,-7.949518971145153046e-03,2.122844196856021881e-02,-1.173523813486099243e-02
4.313149023801088333e-03,1.478247810155153275e-02,-6.877113482914865017e-04,-8.198475092649459839e-02,7.919961214065551758e-02,4.516013711690902710e-02,1.494150795042514801e-02,-3.308657184243202209e-02,-3.329943865537643433e-02
-1.021618489176034927e-02,3.352654725313186646e-02,3.746979683637619019e-02,-2.161926478147506714e-01,9.447565674781799316e-02,-1.444062590599060059e-02,-7.963465154170989990e-02,2.909858338534832001e-02,-4.330877959728240967e-02
-9.438149631023406982e-02,6.063253153115510941e-03,-4.719159379601478577e-02,-6.905604153871536255e-02,3.230771794915199280e-02,-2.865937538444995880e-02,-1.204999461770057678e-01,-2.507759928703308105e-01,-8.150149136781692505e-02
2.751339925453066826e-03,1.700344309210777283e-02,2.484972961246967316e-02,1.839403249323368073e-02,6.990886479616165161e-02,5.076891556382179260e-02,4.101966973394155502e-03,1.548783201724290848e-02,7.275575189851224422e-04
2.588485181331634521e-02,1.556358858942985535e-02,8.340325206518173218e-03,7.077912241220474243e-02,3.155049681663513184e-02,7.581859081983566284e-02,6.703498214483261108e-02,4.846916347742080688e-02,8.254359709098935127e-04
1.181138306856155396e-02,4.978051409125328064e-02,-5.686493590474128723e-03,7.857815921306610107e-02,2.352954633533954620e-02,-4.737891256809234619e-03,1.109439507126808167e-02,-7.072132825851440430e-02,1.958857290446758270e-02
1.145982649177312851e-02,3.412861004471778870e-02,2.454411424696445465e-02,-2.352774329483509064e-02,3.172693401575088501e-02,1.034979522228240967e-01,-2.047543972730636597e-02,1.307827606797218323e-02,4.773498326539993286e-02
